,MedianICC,MedianICCLower,MedianICCHigher
wavelet-LHH_firstorder_Skewness,0.721276207,0.688628196,0.75412077
wavelet-LHH_firstorder_TotalEnergy,0.994705413,0.993816988,0.995524654
wavelet-LHH_firstorder_Uniformity,0.511341436,0.471700731,0.553977968
wavelet-LHH_firstorder_Variance,0.915433679,0.902525199,0.927641461
wavelet-HLL_firstorder_10Percentile,0.887343301,0.870741443,0.903185078
wavelet-HLL_firstorder_90Percentile,0.895266322,0.879676697,0.91010472
wavelet-HLL_firstorder_Energy,0.994707217,0.993819093,0.99552618
wavelet-HLL_firstorder_Entropy,0.829050408,0.805703852,0.851745443
wavelet-HLL_firstorder_InterquartileRange,0.849015004,0.827840157,0.869468515
wavelet-HLL_firstorder_Kurtosis,0.668194445,0.632424648,0.704792775
wavelet-HLL_firstorder_Maximum,0.833885882,0.811052215,0.856048198
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.912929489,0.899679889,0.925469872
wavelet-HLL_firstorder_Mean,0.834092838,0.811281309,0.856232208
wavelet-HLL_firstorder_Median,0.666448173,0.630591622,0.703155665
wavelet-HLL_firstorder_Minimum,0.78302131,0.755207495,0.810458021
wavelet-HLL_firstorder_Range,0.858515521,0.838424467,0.877863545
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.871778976,0.853255658,0.889542066
wavelet-HLL_firstorder_RootMeanSquared,0.831399571,0.808301143,0.853836617
wavelet-HLL_firstorder_Skewness,0.805728122,0.780024636,0.830900513
wavelet-HLL_firstorder_TotalEnergy,0.994707217,0.993819093,0.99552618
wavelet-HLL_firstorder_Uniformity,0.677692334,0.642412049,0.71368084
wavelet-HLL_firstorder_Variance,0.889926108,0.873651689,0.905442668
wavelet-HLH_firstorder_10Percentile,0.908469817,0.894618493,0.921598352
wavelet-HLH_firstorder_90Percentile,0.89911122,0.884021145,0.913456563
wavelet-HLH_firstorder_Energy,0.994705728,0.993817356,0.995524921
wavelet-HLH_firstorder_Entropy,0.712128456,0.678875036,0.745679621
wavelet-HLH_firstorder_InterquartileRange,0.918582398,0.906106147,0.930369583
wavelet-HLH_firstorder_Kurtosis,0.454967368,0.415810551,0.497847262
wavelet-HLH_firstorder_Maximum,0.803202158,0.777254957,0.828633669
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.940621643,0.931274539,0.949390717
wavelet-HLH_firstorder_Mean,0.786400347,0.758889129,0.813509389
wavelet-HLH_firstorder_Median,0.438374564,0.399542446,0.481124559
wavelet-HLH_firstorder_Minimum,0.81233134,0.787275599,0.836817845
wavelet-HLH_firstorder_Range,0.850914826,0.8299541,0.871149268
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.918506663,0.906019973,0.930303996
wavelet-HLH_firstorder_RootMeanSquared,0.791921237,0.764913013,0.81848791
wavelet-HLH_firstorder_Skewness,0.696641791,0.662427733,0.731332781
wavelet-HLH_firstorder_TotalEnergy,0.994705728,0.993817356,0.995524921
